Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
﻿1,1721124314867,"16/07/2024, 10:05:14",1721124312130,2,"16/07/2024, 12:05:12",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,
2,1721124331121,"16/07/2024, 10:05:31",1721124328452,2,"16/07/2024, 12:05:28",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,16247.599999997765,,,,0,,,,,,,,Instructions,,,,
3,1721124331627,"16/07/2024, 10:05:31",1721124328925,2,"16/07/2024, 12:05:28",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,500.2999999999993,,,,0,,,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1721124332830,"16/07/2024, 10:05:32",1721124330162,2,"16/07/2024, 12:05:30",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,1226.300000000745,,,red,1,1,,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1721124333629,"16/07/2024, 10:05:33",1721124330940,2,"16/07/2024, 12:05:30",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,500.09999999999854,,,,0,,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1721124334533,"16/07/2024, 10:05:34",1721124331829,2,"16/07/2024, 12:05:31",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,878.3999999985099,,,yellow,1,1,,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1721124335270,"16/07/2024, 10:05:35",1721124332608,2,"16/07/2024, 12:05:32",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,498.2000000000007,,,,0,,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1721124335926,"16/07/2024, 10:05:35",1721124333234,2,"16/07/2024, 12:05:33",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,615.6000000014901,,,yellow,1,1,,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1721124336683,"16/07/2024, 10:05:36",1721124334024,2,"16/07/2024, 12:05:34",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,500.09999999999854,,,,0,,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1721124337124,"16/07/2024, 10:05:37",1721124334452,2,"16/07/2024, 12:05:34",171473,3,task-l8uv,,38990782,ltsl3,10667481,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x800,1280x665,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,417.3999999985099,,,red,1,1,,,,,,,Practice Trials,REDgreen.jpg,red,0,1
