Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1710255968635,12/03/2024 15:06:08,1710259568635,1,12/03/2024 17:06:08,143587,32,questionnaire-mcpk,,36016105,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Thank you for your partipation,3,ASRT,,,,,5,,BEGIN,,,,,
2,1710255978993,12/03/2024 15:06:18,1710259578993,1,12/03/2024 17:06:18,143587,32,questionnaire-mcpk,,36016105,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Thank you for your partipation,3,ASRT,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1710255978996,12/03/2024 15:06:18,1710259578996,1,12/03/2024 17:06:18,143587,32,questionnaire-mcpk,,36016105,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,0,Thank you for your partipation,3,ASRT,,,,,5,,END,,,,,
1,1711053561514,21/03/2024 20:39:21,1711057161514,1,21/03/2024 22:39:21,143587,32,questionnaire-mcpk,,36324183,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,BEGIN,,,,,
2,1711053580388,21/03/2024 20:39:40,1711057180388,1,21/03/2024 22:39:40,143587,32,questionnaire-mcpk,,36324183,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Thank you for your partipation,3,Stroop ,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1711053580392,21/03/2024 20:39:40,1711057180392,1,21/03/2024 22:39:40,143587,32,questionnaire-mcpk,,36324183,jpxp4,9856426,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,END,,,,,
1,1711284568682,24/03/2024 12:49:28,1711288168682,1,24/03/2024 14:49:28,143587,32,questionnaire-mcpk,,36388044,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Thank you for your partipation,3,DGS,,,,,5,,BEGIN,,,,,
2,1711284592444,24/03/2024 12:49:52,1711288192444,1,24/03/2024 14:49:52,143587,32,questionnaire-mcpk,,36388044,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Thank you for your partipation,3,DGS,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1711284592446,24/03/2024 12:49:52,1711288192446,1,24/03/2024 14:49:52,143587,32,questionnaire-mcpk,,36388044,uyxx3,9856555,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x919,,,0,Thank you for your partipation,3,DGS,,,,,5,,END,,,,,
1,1711300126208,24/03/2024 17:08:46,1711303726208,1,24/03/2024 19:08:46,143587,32,questionnaire-mcpk,,36395139,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,Thank you for your partipation,3,ASRT,,,,,5,,BEGIN,,,,,
2,1711300137612,24/03/2024 17:08:57,1711303737612,1,24/03/2024 19:08:57,143587,32,questionnaire-mcpk,,36395139,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,Thank you for your partipation,3,ASRT,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1711300137615,24/03/2024 17:08:57,1711303737615,1,24/03/2024 19:08:57,143587,32,questionnaire-mcpk,,36395139,crar9,9856432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x800,1280x665,,,0,Thank you for your partipation,3,ASRT,,,,,5,,END,,,,,
1,1711373464837,25/03/2024 13:31:04,1711377064837,1,25/03/2024 15:31:04,143587,32,questionnaire-mcpk,,36415643,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1464x857,,,0,Thank you for your partipation,3,ASRT,,,,,5,,BEGIN,,,,,
2,1711373474138,25/03/2024 13:31:14,1711377074138,1,25/03/2024 15:31:14,143587,32,questionnaire-mcpk,,36415643,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1464x857,,,0,Thank you for your partipation,3,ASRT,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1711373474139,25/03/2024 13:31:14,1711377074139,1,25/03/2024 15:31:14,143587,32,questionnaire-mcpk,,36415643,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1464x857,,,0,Thank you for your partipation,3,ASRT,,,,,5,,END,,,,,
1,1712243257349,04/04/2024 15:07:37,1712250457349,2,04/04/2024 19:07:37,143587,32,questionnaire-mcpk,,36742805,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,BEGIN,,,,,
2,1712243293876,04/04/2024 15:08:13,1712250493876,2,04/04/2024 19:08:13,143587,32,questionnaire-mcpk,,36742805,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,Thank you for your partipation,3,Stroop ,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1712243293881,04/04/2024 15:08:13,1712250493881,2,04/04/2024 19:08:13,143587,32,questionnaire-mcpk,,36742805,qgsl9,9856554,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1280x720,1280x585,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,END,,,,,
1,1712520091749,07/04/2024 20:01:31,1712527291749,2,08/04/2024 00:01:31,143587,32,questionnaire-mcpk,,36817265,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x1080,,,0,Thank you for your partipation,3,DGS,,,,,5,,BEGIN,,,,,
2,1712520099312,07/04/2024 20:01:39,1712527299312,2,08/04/2024 00:01:39,143587,32,questionnaire-mcpk,,36817265,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x1080,,,0,Thank you for your partipation,3,DGS,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1712520099312,07/04/2024 20:01:39,1712527299312,2,08/04/2024 00:01:39,143587,32,questionnaire-mcpk,,36817265,hcqa8,9856430,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x1080,,,0,Thank you for your partipation,3,DGS,,,,,5,,END,,,,,
1,1713121138402,14/04/2024 18:58:58,1713128338402,2,14/04/2024 22:58:58,143587,32,questionnaire-mcpk,,37011197,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1305,,,0,Thank you for your partipation,3,DGS,,,,,5,,BEGIN,,,,,
2,1713121153327,14/04/2024 18:59:13,1713128353327,2,14/04/2024 22:59:13,143587,32,questionnaire-mcpk,,37011197,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1305,,,0,Thank you for your partipation,3,DGS,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1713121153329,14/04/2024 18:59:13,1713128353329,2,14/04/2024 22:59:13,143587,32,questionnaire-mcpk,,37011197,finc3,9856553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,2560x1440,2560x1305,,,0,Thank you for your partipation,3,DGS,,,,,5,,END,,,,,
1,1713368914929,17/04/2024 15:48:34,1713376114929,2,17/04/2024 19:48:34,143587,32,questionnaire-mcpk,,37094902,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,BEGIN,,,,,
2,1713368926664,17/04/2024 15:48:46,1713376126664,2,17/04/2024 19:48:46,143587,32,questionnaire-mcpk,,37094902,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,Thank you for your partipation,3,Stroop ,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1713368926664,17/04/2024 15:48:46,1713376126664,2,17/04/2024 19:48:46,143587,32,questionnaire-mcpk,,37094902,fqrf6,9856434,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1696x954,1696x810,,,0,Thank you for your partipation,3,Stroop ,,,,,5,,END,,,,,
1,1713376675850,17/04/2024 17:57:55,1713383875850,2,17/04/2024 21:57:55,143587,32,questionnaire-mcpk,,37097920,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,Thank you for your partipation,3,ASRT,,,,,5,,BEGIN,,,,,
2,1713376695037,17/04/2024 17:58:15,1713383895037,2,17/04/2024 21:58:15,143587,32,questionnaire-mcpk,,37097920,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,Thank you for your partipation,3,ASRT,Page 1,mqcm13,1,,continue,,,,,screen,0,screen
3,1713376695039,17/04/2024 17:58:15,1713383895039,2,17/04/2024 21:58:15,143587,32,questionnaire-mcpk,,37097920,rvax5,9856438,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,1920x963,,,0,Thank you for your partipation,3,ASRT,,,,,5,,END,,,,,
