Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1710255713181,12/03/2024 15:01:53,1710255709612,1,12/03/2024 16:01:49,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1710255761787,12/03/2024 15:02:41,1710255758257,1,12/03/2024 16:02:38,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,48055.80000001192,,,,,0,1,0,,,,,,Instructions,,,,
3,1710255762258,12/03/2024 15:02:42,1710255758724,1,12/03/2024 16:02:38,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1710255765429,12/03/2024 15:02:45,1710255761896,1,12/03/2024 16:02:41,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttonb,response_keyboard,3154.800000011921,,,blue,1,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1710255766214,12/03/2024 15:02:46,1710255762674,1,12/03/2024 16:02:42,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1710255767608,12/03/2024 15:02:47,1710255764085,1,12/03/2024 16:02:44,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,1393.9000000357628,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1710255772171,12/03/2024 15:02:52,1710255764874,1,12/03/2024 16:02:44,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1710255772334,12/03/2024 15:02:52,1710255766117,1,12/03/2024 16:02:46,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,1227.7999999523163,,,red,1,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1710255772334,12/03/2024 15:02:52,1710255766907,1,12/03/2024 16:02:46,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,499.90000000000146,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1710255772334,12/03/2024 15:02:52,1710255767729,1,12/03/2024 16:02:47,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttonb,response_keyboard,808.8999999761581,,,blue,1,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
11,1710255772334,12/03/2024 15:02:52,1710255768523,1,12/03/2024 16:02:48,143587,32,task-l8uv,,36015924,rqed8,9856431,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x641,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,1,Screen 1,fixation,fixation,500.09999999999854,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
