Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1711379347080,25/03/2024 15:09:07,1711382947080,1,25/03/2024 17:09:07,171473,3,task-iam7,,36422455,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1711379347169,25/03/2024 15:09:07,1711382947169,1,25/03/2024 17:09:07,171473,3,task-iam7,,36422455,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101,99.19999999999982,101,101,99.19999999999982,101,1,101,0,0,,Time Limit,screen,0,screen,dummy,
3,1711379347171,25/03/2024 15:09:07,1711382947171,1,25/03/2024 17:09:07,171473,3,task-iam7,,36422455,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1711537210488,27/03/2024 11:00:10,1711540810488,1,27/03/2024 13:00:10,171473,3,task-iam7,,36495878,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1711537210541,27/03/2024 11:00:10,1711540810541,1,27/03/2024 13:00:10,171473,3,task-iam7,,36495878,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.3680000000004,99.3680000000004,101.3680000000004,101.3680000000004,99.3680000000004,101.3680000000004,1,101.3680000000004,0,0,,Time Limit,screen,0,screen,dummy,
3,1711537210545,27/03/2024 11:00:10,1711540810545,1,27/03/2024 13:00:10,171473,3,task-iam7,,36495878,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712764552719,10/04/2024 15:55:52,1712771752719,2,10/04/2024 19:55:52,171473,3,task-iam7,,36905313,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712764552812,10/04/2024 15:55:52,1712771752812,2,10/04/2024 19:55:52,171473,3,task-iam7,,36905313,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,104.90000000000009,100,104.90000000000009,104.90000000000009,100,104.90000000000009,1,104.90000000000009,0,0,,Time Limit,screen,0,screen,dummy,
3,1712764552813,10/04/2024 15:55:52,1712771752813,2,10/04/2024 19:55:52,171473,3,task-iam7,,36905313,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713206916593,15/04/2024 18:48:36,1713214116593,2,15/04/2024 22:48:36,171473,3,task-iam7,,37038455,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713206916681,15/04/2024 18:48:36,1713214116681,2,15/04/2024 22:48:36,171473,3,task-iam7,,37038455,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,95.98000000000002,94.67999999999984,95.98000000000002,95.98000000000002,94.67999999999984,95.98000000000002,1,95.98000000000002,0,0,,Time Limit,screen,0,screen,dummy,
3,1713206916682,15/04/2024 18:48:36,1713214116682,2,15/04/2024 22:48:36,171473,3,task-iam7,,37038455,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1713466374960,18/04/2024 18:52:54,1713473574960,2,18/04/2024 22:52:54,171473,3,task-iam7,,37127912,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1713466375047,18/04/2024 18:52:55,1713473575047,2,18/04/2024 22:52:55,171473,3,task-iam7,,37127912,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.19999999999982,99.89999999999964,101.19999999999982,101.19999999999982,99.89999999999964,101.19999999999982,1,101.19999999999982,0,0,,Time Limit,screen,0,screen,dummy,
3,1713466375048,18/04/2024 18:52:55,1713473575048,2,18/04/2024 22:52:55,171473,3,task-iam7,,37127912,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1715268427571,09/05/2024 15:27:07,1715275627571,2,09/05/2024 19:27:07,171473,3,task-iam7,,37578619,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1715268427657,09/05/2024 15:27:07,1715275627657,2,09/05/2024 19:27:07,171473,3,task-iam7,,37578619,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.6839999046324,99.78399999999965,101.6839999046324,101.6839999046324,99.78399999999965,101.6839999046324,1,101.6839999046324,0,0,,Time Limit,screen,0,screen,dummy,
3,1715268427658,09/05/2024 15:27:07,1715275627658,2,09/05/2024 19:27:07,171473,3,task-iam7,,37578619,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1715700093280,14/05/2024 15:21:33,1715707293280,2,14/05/2024 19:21:33,171473,3,task-iam7,,37650586,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1715700093361,14/05/2024 15:21:33,1715707293361,2,14/05/2024 19:21:33,171473,3,task-iam7,,37650586,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,100.83200004768378,99.83199999999988,100.83200004768378,100.83200004768378,99.83199999999988,100.83200004768378,1,100.83200004768378,0,0,,Time Limit,screen,0,screen,dummy,
3,1715700093362,14/05/2024 15:21:33,1715707293362,2,14/05/2024 19:21:33,171473,3,task-iam7,,37650586,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1715746502400,15/05/2024 04:15:02,1715753702400,2,15/05/2024 08:15:02,171473,3,task-iam7,,37658818,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1715746502487,15/05/2024 04:15:02,1715753702487,2,15/05/2024 08:15:02,171473,3,task-iam7,,37658818,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,97.69999990463248,97.09999999999991,97.69999990463248,97.69999990463248,97.09999999999991,97.69999990463248,1,97.69999990463248,0,0,,Time Limit,screen,0,screen,dummy,
