Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Stimulus,Answer,Congruency,Practice
1,1712768343393,10/04/2024 16:59:03,1712768343221,2,10/04/2024 18:59:03,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1712768456219,10/04/2024 17:00:56,1712768455885,2,10/04/2024 19:00:55,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,1,1,1,Screen 1,button,continue_keyboard,112641.59999990463,,,,,0,1,0,,,,,,Instructions,,,,
3,1712768456522,10/04/2024 17:00:56,1712768456370,2,10/04/2024 19:00:56,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,REDred.jpg,red,1,1
4,1712768457960,10/04/2024 17:00:57,1712768457803,2,10/04/2024 19:00:57,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,2,1,2,Screen 2,buttona,response_keyboard,1420.8000001907349,,,red,1,1,0,0,,,,,,Practice Trials,REDred.jpg,red,1,1
5,1712768458919,10/04/2024 17:00:58,1712768458586,2,10/04/2024 19:00:58,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,1,Screen 1,fixation,fixation,499.90000000000873,,,,,0,1,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
6,1712768460068,10/04/2024 17:01:00,1712768459941,2,10/04/2024 19:00:59,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,3,2,2,Screen 2,buttona,response_keyboard,1342.6999998092651,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWblue.jpg,yellow,0,1
7,1712768460875,10/04/2024 17:01:00,1712768460736,2,10/04/2024 19:01:00,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
8,1712768461644,10/04/2024 17:01:01,1712768461504,2,10/04/2024 19:01:01,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,4,3,2,Screen 2,buttona,response_keyboard,755.2000002861023,,,yellow,1,1,0,0,,,,,,Practice Trials,YELLOWyellow.jpg,yellow,1,1
9,1712768462428,10/04/2024 17:01:02,1712768462285,2,10/04/2024 19:01:02,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
10,1712768463129,10/04/2024 17:01:03,1712768462993,2,10/04/2024 19:01:02,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,5,4,2,Screen 2,buttona,response_keyboard,695.6999998092651,,,red,1,1,0,0,,,,,,Practice Trials,REDgreen.jpg,red,0,1
11,1712768463913,10/04/2024 17:01:03,1712768463786,2,10/04/2024 19:01:03,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,1,Screen 1,fixation,fixation,499.8999999999942,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
12,1712768466186,10/04/2024 17:01:06,1712768466053,2,10/04/2024 19:01:06,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,6,5,2,Screen 2,buttonb,response_keyboard,2256.0999999046326,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
13,1712768466977,10/04/2024 17:01:06,1712768466835,2,10/04/2024 19:01:06,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
14,1712768467578,10/04/2024 17:01:07,1712768467438,2,10/04/2024 19:01:07,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,7,6,2,Screen 2,buttonb,response_keyboard,591.7000002861023,,,green,1,1,0,0,,,,,,Practice Trials,GREENred.jpg,green,0,1
15,1712768468547,10/04/2024 17:01:08,1712768468220,2,10/04/2024 19:01:08,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,1,Screen 1,fixation,fixation,500,,,,,0,1,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
16,1712768469052,10/04/2024 17:01:09,1712768468918,2,10/04/2024 19:01:08,171473,3,task-l8uv,,36906881,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,,Stroop Task,5,ASRT,spreadsheet_stroop_100,spreadsheet_stroop_100,8,7,2,Screen 2,buttonb,response_keyboard,687.2000002861023,,,blue,1,1,0,0,,,,,,Practice Trials,BLUEyellow.jpg,blue,0,1
