Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1711384323365,25/03/2024 16:32:03,1711387923365,1,25/03/2024 18:32:03,171473,3,questionnaire-mcpk,,36426319,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,BEGIN,,,,,
2,1711384336337,25/03/2024 16:32:16,1711387936337,1,25/03/2024 18:32:16,171473,3,questionnaire-mcpk,,36426319,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,END,,,,,
1,1711627316720,28/03/2024 12:01:56,1711630916720,1,28/03/2024 14:01:56,171473,3,questionnaire-mcpk,,36560999,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,Thank you for your partipation,4,DGS,,,,,5,,BEGIN,,,,,
2,1711627327807,28/03/2024 12:02:07,1711630927807,1,28/03/2024 14:02:07,171473,3,questionnaire-mcpk,,36560999,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,Thank you for your partipation,4,DGS,,,,,5,,END,,,,,
1,1712768621832,10/04/2024 17:03:41,1712775821832,2,10/04/2024 21:03:41,171473,3,questionnaire-mcpk,,36907016,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,4,ASRT,,,,,5,,BEGIN,,,,,
2,1712768630448,10/04/2024 17:03:50,1712775830448,2,10/04/2024 21:03:50,171473,3,questionnaire-mcpk,,36907016,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,Thank you for your partipation,4,ASRT,,,,,5,,END,,,,,
1,1713210730471,15/04/2024 19:52:10,1713217930471,2,15/04/2024 23:52:10,171473,3,questionnaire-mcpk,,37040341,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Thank you for your partipation,4,ASRT,,,,,5,,BEGIN,,,,,
2,1713210758523,15/04/2024 19:52:38,1713217958523,2,15/04/2024 23:52:38,171473,3,questionnaire-mcpk,,37040341,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,Thank you for your partipation,4,ASRT,,,,,5,,END,,,,,
1,1713469972953,18/04/2024 19:52:52,1713477172953,2,18/04/2024 23:52:52,171473,3,questionnaire-mcpk,,37129629,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,Thank you for your partipation,4,DGS,,,,,5,,BEGIN,,,,,
2,1713469981940,18/04/2024 19:53:01,1713477181940,2,18/04/2024 23:53:01,171473,3,questionnaire-mcpk,,37129629,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,Thank you for your partipation,4,DGS,,,,,5,,END,,,,,
1,1715272001300,09/05/2024 16:26:41,1715279201300,2,09/05/2024 20:26:41,171473,3,questionnaire-mcpk,,37579635,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,BEGIN,,,,,
2,1715272008059,09/05/2024 16:26:48,1715279208059,2,09/05/2024 20:26:48,171473,3,questionnaire-mcpk,,37579635,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,END,,,,,
1,1715703713987,14/05/2024 16:21:53,1715710913987,2,14/05/2024 20:21:53,171473,3,questionnaire-mcpk,,37651584,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,BEGIN,,,,,
2,1715703715719,14/05/2024 16:21:55,1715710915719,2,14/05/2024 20:21:55,171473,3,questionnaire-mcpk,,37651584,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,Thank you for your partipation,4,Stroop ,,,,,5,,END,,,,,
1,1715750519638,15/05/2024 05:21:59,1715757719638,2,15/05/2024 09:21:59,171473,3,questionnaire-mcpk,,37659114,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,Thank you for your partipation,4,DGS,,,,,5,,BEGIN,,,,,
2,1715750524316,15/05/2024 05:22:04,1715757724316,2,15/05/2024 09:22:04,171473,3,questionnaire-mcpk,,37659114,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,Thank you for your partipation,4,DGS,,,,,5,,END,,,,,
1,1715865203824,16/05/2024 13:13:23,1715872403824,2,16/05/2024 17:13:23,171473,3,questionnaire-mcpk,,37688545,finc3,10667593,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,3840x1080,1918x944,,,0,Thank you for your partipation,4,ASRT,,,,,info,,BEGIN,,,,,
2,1715865212330,16/05/2024 13:13:32,1715872412330,2,16/05/2024 17:13:32,171473,3,questionnaire-mcpk,,37688545,finc3,10667593,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,3840x1080,1918x944,,,0,Thank you for your partipation,4,ASRT,,,,,info,,END,,,,,
1,1716470574112,23/05/2024 13:22:54,1716477774112,2,23/05/2024 17:22:54,171473,3,questionnaire-mcpk,,37821852,ezje7,10667592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x854,1280x685,,,0,Thank you for your partipation,4,ASRT,,,,,info,,BEGIN,,,,,
2,1716470580085,23/05/2024 13:23:00,1716477780085,2,23/05/2024 17:23:00,171473,3,questionnaire-mcpk,,37821852,ezje7,10667592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x854,1280x685,,,0,Thank you for your partipation,4,ASRT,,,,,info,,END,,,,,
1,1716656696621,25/05/2024 17:04:56,1716663896621,2,25/05/2024 21:04:56,171473,3,questionnaire-mcpk,,37858137,rvax5,10667479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x963,,,0,Thank you for your partipation,4,Stroop ,,,,,info,,BEGIN,,,,,
2,1716656709762,25/05/2024 17:05:09,1716663909762,2,25/05/2024 21:05:09,171473,3,questionnaire-mcpk,,37858137,rvax5,10667479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x963,,,0,Thank you for your partipation,4,Stroop ,,,,,info,,END,,,,,
