Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1711379353384,25/03/2024 15:09:13,1711382953384,1,25/03/2024 17:09:13,171473,3,questionnaire-qeou,,36422467,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,WELCOME,2,Stroop ,,,,,5,,BEGIN,,,,,
2,1711379423247,25/03/2024 15:10:23,1711383023247,1,25/03/2024 17:10:23,171473,3,questionnaire-qeou,,36422467,xqls8,10667466,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,WELCOME,2,Stroop ,,,,,5,,END,,,,,
1,1711537215851,27/03/2024 11:00:15,1711540815851,1,27/03/2024 13:00:15,171473,3,questionnaire-qeou,,36495886,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,WELCOME,2,DGS,,,,,5,,BEGIN,,,,,
2,1711537226756,27/03/2024 11:00:26,1711540826756,1,27/03/2024 13:00:26,171473,3,questionnaire-qeou,,36495886,pson3,10667468,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1536x864,1536x738,,,0,WELCOME,2,DGS,,,,,5,,END,,,,,
1,1712764556384,10/04/2024 15:55:56,1712771756384,2,10/04/2024 19:55:56,171473,3,questionnaire-qeou,,36905315,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,WELCOME,2,ASRT,,,,,5,,BEGIN,,,,,
2,1712764565168,10/04/2024 15:56:05,1712771765168,2,10/04/2024 19:56:05,171473,3,questionnaire-qeou,,36905315,qdvg4,10667470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1440x900,1440x813,,,0,WELCOME,2,ASRT,,,,,5,,END,,,,,
1,1713206920291,15/04/2024 18:48:40,1713214120291,2,15/04/2024 22:48:40,171473,3,questionnaire-qeou,,37038459,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,WELCOME,2,ASRT,,,,,5,,BEGIN,,,,,
2,1713206947276,15/04/2024 18:49:07,1713214147276,2,15/04/2024 22:49:07,171473,3,questionnaire-qeou,,37038459,jpxp4,10667467,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1280x720,1280x587,,,0,WELCOME,2,ASRT,,,,,5,,END,,,,,
1,1713466378716,18/04/2024 18:52:58,1713473578716,2,18/04/2024 22:52:58,171473,3,questionnaire-qeou,,37127914,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,WELCOME,2,DGS,,,,,5,,BEGIN,,,,,
2,1713466389237,18/04/2024 18:53:09,1713473589237,2,18/04/2024 22:53:09,171473,3,questionnaire-qeou,,37127914,uyxx3,10667595,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x953,,,0,WELCOME,2,DGS,,,,,5,,END,,,,,
1,1715268431545,09/05/2024 15:27:11,1715275631545,2,09/05/2024 19:27:11,171473,3,questionnaire-qeou,,37578620,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,WELCOME,2,Stroop ,,,,,5,,BEGIN,,,,,
2,1715268434526,09/05/2024 15:27:14,1715275634526,2,09/05/2024 19:27:14,171473,3,questionnaire-qeou,,37578620,exdq7,10667596,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 124.0.0.0,1512x982,1464x857,,,0,WELCOME,2,Stroop ,,,,,5,,END,,,,,
1,1715700097445,14/05/2024 15:21:37,1715707297445,2,14/05/2024 19:21:37,171473,3,questionnaire-qeou,,37650588,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,WELCOME,2,Stroop ,,,,,5,,BEGIN,,,,,
2,1715700106979,14/05/2024 15:21:46,1715707306979,2,14/05/2024 19:21:46,171473,3,questionnaire-qeou,,37650588,crar9,10667473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x800,1280x665,,,0,WELCOME,2,Stroop ,,,,,5,,END,,,,,
1,1715746505773,15/05/2024 04:15:05,1715753705773,2,15/05/2024 08:15:05,171473,3,questionnaire-qeou,,37658821,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,WELCOME,2,DGS,,,,,5,,BEGIN,,,,,
2,1715746527196,15/05/2024 04:15:27,1715753727196,2,15/05/2024 08:15:27,171473,3,questionnaire-qeou,,37658821,hcqa8,10667471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1920x1080,1920x945,,,0,WELCOME,2,DGS,,,,,5,,END,,,,,
1,1715861918578,16/05/2024 12:18:38,1715869118578,2,16/05/2024 16:18:38,171473,3,questionnaire-qeou,,37686947,finc3,10667593,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,3840x1080,1918x944,,,0,WELCOME,2,ASRT,,,,,info,,BEGIN,,,,,
2,1715861920978,16/05/2024 12:18:40,1715869120978,2,16/05/2024 16:18:40,171473,3,questionnaire-qeou,,37686947,finc3,10667593,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,3840x1080,1918x944,,,0,WELCOME,2,ASRT,,,,,info,,END,,,,,
1,1716467325463,23/05/2024 12:28:45,1716474525463,2,23/05/2024 16:28:45,171473,3,questionnaire-qeou,,37820278,ezje7,10667592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x854,1280x685,,,0,WELCOME,2,ASRT,,,,,info,,BEGIN,,,,,
2,1716467334964,23/05/2024 12:28:54,1716474534964,2,23/05/2024 16:28:54,171473,3,questionnaire-qeou,,37820278,ezje7,10667592,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x854,1280x685,,,0,WELCOME,2,ASRT,,,,,info,,END,,,,,
1,1716653302478,25/05/2024 16:08:22,1716660502478,2,25/05/2024 20:08:22,171473,3,questionnaire-qeou,,37857742,rvax5,10667479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x963,,,0,WELCOME,2,Stroop ,,,,,info,,BEGIN,,,,,
2,1716653312479,25/05/2024 16:08:32,1716660512479,2,25/05/2024 20:08:32,171473,3,questionnaire-qeou,,37857742,rvax5,10667479,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1920x1080,1920x963,,,0,WELCOME,2,Stroop ,,,,,info,,END,,,,,
1,1717133629627,31/05/2024 05:33:49,1717140829627,2,31/05/2024 09:33:49,171473,3,questionnaire-qeou,,37962718,gxac7,10667478,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1440x813,,,0,WELCOME,2,DGS,,,,,info,,BEGIN,,,,,
2,1717133668595,31/05/2024 05:34:28,1717140868595,2,31/05/2024 09:34:28,171473,3,questionnaire-qeou,,37962718,gxac7,10667478,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1440x813,,,0,WELCOME,2,DGS,,,,,info,,END,,,,,
1,1717168578809,31/05/2024 15:16:18,1717175778809,2,31/05/2024 19:16:18,171473,3,questionnaire-qeou,,37973184,fqrf6,10667475,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1696x954,1696x810,,,0,WELCOME,2,ASRT,,,,,info,,BEGIN,,,,,
2,1717168584208,31/05/2024 15:16:24,1717175784208,2,31/05/2024 19:16:24,171473,3,questionnaire-qeou,,37973184,fqrf6,10667475,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1696x954,1696x810,,,0,WELCOME,2,ASRT,,,,,info,,END,,,,,
1,1720180271748,05/07/2024 11:51:11,1720187471748,2,05/07/2024 15:51:11,171473,3,questionnaire-qeou,,38769869,ksjo8,10667480,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x730,,,0,WELCOME,2,Stroop ,,,,,info,,BEGIN,,,,,
2,1720180283629,05/07/2024 11:51:23,1720187483629,2,05/07/2024 15:51:23,171473,3,questionnaire-qeou,,38769869,ksjo8,10667480,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x730,,,0,WELCOME,2,Stroop ,,,,,info,,END,,,,,
1,1720386143788,07/07/2024 21:02:23,1720393343788,2,08/07/2024 01:02:23,171473,3,questionnaire-qeou,,38797378,zuwa4,10667482,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2195x1235,2195x1074,,,0,WELCOME,2,DGS,,,,,info,,BEGIN,,,,,
2,1720386197509,07/07/2024 21:03:17,1720393397509,2,08/07/2024 01:03:17,171473,3,questionnaire-qeou,,38797378,zuwa4,10667482,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,2195x1235,2195x1074,,,0,WELCOME,2,DGS,,,,,info,,END,,,,,
